canonical_name,risk_level,sub_weight,source,health_concern,products_containing,top_primary_categories
phospholipids,Low,1.0,Cosing EU,Natural cell membrane lipids; helps product absorb into skin; safe,204,Skincare (117); Hair (54); Makeup (17)
polyhydroxystearic acid,Low,1.0,Cosing EU,Helps distribute pigments evenly; safe,204,Makeup (131); Skincare (63); Mini Size (6)
ferric ferrocyanide (ci 77510),Low,1.0,EU Annex IV,Approved colorant; safe,203,Makeup (229); Mini Size (17); Skincare (2)
cucumis sativus (cucumber) fruit extract,Low,1.0,Cosing EU,Cucumber extract; soothing and hydrating; safe,202,Skincare (143); Makeup (19); Fragrance (14)
polyquaternium-10,Low,1.0,Cosing EU,Hair conditioner; reduces static; safe,200,Hair (157); Skincare (18); Makeup (13)
ammonium acryloyldimethyltaurate/vp copolymer,Low,1.0,Cosing EU,Thickener; controls product texture; safe,199,Skincare (151); Makeup (28); Bath & Body (8)
sorbitan olivate,Low,1.0,Cosing EU,Olive-derived emulsifier; safe,199,Skincare (136); Bath & Body (26); Makeup (23)
pyrus malus (apple) fruit extract,Low,1.0,Cosing EU,Apple-derived skin conditioner; safe,198,Skincare (140); Hair (20); Makeup (19)
vitis vinifera (grape) seed oil,Low,1.0,Cosing EU,Grapeseed oil; safe,198,Skincare (77); Hair (41); Bath & Body (37)
disodium phosphate,Low,1.0,Cosing EU,pH adjuster; safe,195,Hair (78); Skincare (66); Makeup (40)
oryza sativa (rice) bran extract,Low,1.0,Cosing EU,Rice bran antioxidant; brightening; safe,194,Skincare (103); Hair (51); Makeup (19)
sodium cocoyl isethionate,Low,1.0,Cosing EU,Gentle coconut-based cleanser; safe,194,Hair (118); Skincare (56); Bath & Body (13)
glucose,Low,1.0,Cosing EU,Natural sugar; moisturizer; safe,193,Skincare (130); Hair (25); Makeup (18)
carthamus tinctorius (safflower) seed oil,Low,1.0,Cosing EU,Safflower oil; safe,191,Skincare (74); Hair (47); Makeup (40)
pvp,Low,1.0,Cosing EU,Film-forming polymer; holds product on skin/hair; safe,188,Makeup (97); Hair (51); Skincare (20)
paraffin,Low,1.0,Cosing EU,Refined mineral wax; seals in moisture; safe,185,Makeup (141); Skincare (19); Mini Size (18)
pentaerythrityl tetraisostearate,Low,1.0,Cosing EU,Moisturizer; safe,184,Makeup (139); Skincare (31); Mini Size (9)
glycyrrhiza glabra (licorice) root extract,Low,1.0,Cosing EU,Licorice extract; soothes skin; safe,183,Skincare (136); Makeup (21); Bath & Body (10)
olea europaea (olive) fruit oil,Low,1.0,Cosing EU,Olive oil; safe,183,Skincare (65); Hair (45); Makeup (36)
sorbitan oleate,Low,1.0,Cosing EU,Blends oil and water in formulas; safe,182,Skincare (78); Hair (57); Makeup (35)
cetearyl glucoside,Low,1.0,Cosing EU,Sugar-based emulsifier; safe,181,Skincare (128); Bath & Body (27); Hair (14)
glycine,Low,1.0,Cosing EU,Naturally occurring amino acid; safe,181,Hair (90); Skincare (74); Makeup (8)
tetrasodium glutamate diacetate,Low,1.0,Cosing EU,Preservative booster (binds metals); safe,181,Skincare (99); Hair (71); Bath & Body (8)
hdi/trimethylol hexyllactone crosspolymer,Low,1.0,Cosing EU,Film-former; keeps product on skin; safe,180,Makeup (124); Skincare (39); Mini Size (15)
linoleic acid,Low,1.0,Cosing EU,Natural skin-repairing fatty acid; safe,180,Skincare (138); Bath & Body (15); Makeup (13)
serine,Low,1.0,Cosing EU,Naturally occurring amino acid; safe,180,Hair (89); Skincare (68); Makeup (15)
acacia senegal gum,Low,1.0,Cosing EU,Natural plant gum thickener; safe,179,Makeup (91); Skincare (55); Mini Size (19)
glycol distearate,Low,1.0,Cosing EU,Gives pearly appearance to products; moisturizer; safe,175,Hair (125); Skincare (35); Bath & Body (5)
rosa canina fruit oil,Low,1.0,Cosing EU,Rosehip oil; safe,175,Skincare (67); Hair (41); Makeup (35)
cetearyl olivate,Low,1.0,Cosing EU,Olive-derived emulsifier; safe,174,Skincare (124); Bath & Body (26); Makeup (10)
cholesterol,Low,1.0,Cosing EU,Natural skin lipid; strengthens skin barrier; safe,174,Skincare (128); Makeup (27); Bath & Body (10)
xylitol,Low,1.0,Cosing EU,Sugar-based moisturizer; safe,174,Skincare (97); Hair (58); Makeup (10)
hydrolyzed vegetable protein pg-propyl silanetriol,Low,1.0,Cosing EU,Hair and skin conditioner; safe,173,Hair (165); Mini Size (7); Men (1)
saccharide isomerate,Low,1.0,Cosing EU,Plant-derived moisturizer; safe,171,Skincare (125); Makeup (15); Bath & Body (14)
synthetic beeswax,Low,1.0,Cosing EU,Man-made wax; texture agent; safe,171,Makeup (148); Mini Size (14); Skincare (5)
dicaprylyl carbonate,Low,1.0,Cosing EU,Lightweight moisturizer; safe,168,Skincare (105); Hair (31); Makeup (18)
palmitoyl tripeptide-1,Low,1.0,Cosing EU,Anti-aging peptide; safe,166,Skincare (99); Makeup (60); Mini Size (5)
coco-glucoside,Low,1.0,Cosing EU,Gentle coconut-based cleanser; safe,163,Skincare (85); Hair (42); Makeup (14)
trideceth-12,Low,1.0,Cosing EU,Cleansing/emulsifying agent; safe,163,Hair (152); Mini Size (7); Skincare (2)
calcium gluconate,Low,1.0,Cosing EU,Mineral salt; skin conditioner; safe,162,Hair (79); Skincare (62); Makeup (12)
limnanthes alba (meadowfoam) seed oil,Low,1.0,Cosing EU,Meadowfoam oil moistrurizer; safe,161,Skincare (77); Makeup (31); Hair (28)
polymethyl methacrylate,Low,1.0,Cosing EU,Synthetic polymer powder; safe,160,Makeup (106); Skincare (35); Mini Size (15)
cellulose,Low,1.0,Cosing EU,Natural plant fibre; thickener; safe,159,Skincare (71); Makeup (56); Hair (18)
cetyl esters,Low,1.0,Cosing EU,Emollient wax; safe,159,Hair (129); Skincare (20); Makeup (4)
caprylhydroxamic acid,Low,1.0,Cosing EU,Preservative booster (binds metals); safe,158,Skincare (93); Makeup (26); Hair (22)
lactobacillus ferment,Low,1.0,Cosing EU,Probiotic-derived skin conditioner; safe,158,Skincare (99); Makeup (23); Hair (13)
melia azadirachta leaf extract,Low,1.0,Cosing EU,Neem leaf extract; skin conditioner; safe,158,Skincare (101); Hair (31); Makeup (10)
moringa oleifera seed oil,Low,1.0,Cosing EU,Moringa oil moisturizer; safe,157,Hair (70); Skincare (59); Makeup (12)
curcuma longa (turmeric) root extract,Low,1.0,Cosing EU,Turmeric extract; antioxidant; safe,155,Skincare (111); Hair (19); Makeup (13)
polyacrylate crosspolymer-6,Low,1.0,Cosing EU,Thickener; controls product texture; safe,155,Skincare (126); Bath & Body (10); Hair (7)
hydrogenated vegetable oil,Low,1.0,Cosing EU,Vegetable-based wax; safe,153,Makeup (79); Skincare (55); Hair (8)
magnesium sulfate,Low,1.0,Cosing EU,Mineral salt (Epsom salt); safe,152,Makeup (80); Skincare (45); Hair (15)
triethyl citrate,Low,1.0,Cosing EU,Solvent; helps other ingredients dissolve; safe,149,Skincare (66); Fragrance (27); Makeup (24)
behentrimonium methosulfate,Low,1.0,Cosing EU,Gentle hair conditioner; safe,147,Hair (141); Mini Size (3); Men (3)
proline,Low,1.0,Cosing EU,Naturally occurring amino acid; safe,147,Skincare (66); Hair (62); Makeup (10)
glyceryl stearate se,Low,1.0,Cosing EU,Blends oil and water in formulas; safe,146,Skincare (93); Hair (22); Makeup (14)
tribehenin,Low,1.0,Cosing EU,Plant-based moisturizer; safe,146,Makeup (97); Skincare (34); Hair (8)
urea,Low,1.0,Cosing EU,Moisturizer; softens rough skin; safe,146,Skincare (95); Makeup (19); Hair (17)
algae extract,Low,1.0,Cosing EU,Seaweed-derived skin conditioner; safe,145,Skincare (92); Makeup (26); Hair (16)
polyglyceryl-2 triisostearate,Low,1.0,Cosing EU,Blends oil and water in formulas; safe,145,Makeup (128); Skincare (13); Mini Size (3)
sodium phosphate,Low,1.0,Cosing EU,pH adjuster; safe,145,Hair (67); Skincare (45); Makeup (25)
zea mays (corn) starch,Low,1.0,Cosing EU,Corn starch; absorbs oil; safe,145,Makeup (77); Skincare (27); Hair (17)
ci 77288 (chromium oxide green),Low,1.0,EU Annex IV,Approved colorant; safe,144,Makeup (124); Mini Size (12); Skincare (5)
palmitoyl tetrapeptide-7,Low,1.0,Cosing EU,Anti-aging peptide; safe,144,Skincare (111); Makeup (26); Mini Size (5)
methicone,Low,1.0,Cosing EU,Silicone coating for pigments; safe,143,Makeup (104); Skincare (22); Mini Size (13)
potassium cetyl phosphate,Low,1.0,Cosing EU,Blends oil and water in formulas; safe,143,Skincare (87); Makeup (25); Bath & Body (21)
polyquaternium-37,Low,1.0,Cosing EU,Hair/skin conditioner; safe,139,Hair (137); Mini Size (2)
sodium methyl cocoyl taurate,Low,1.0,Cosing EU,Gentle coconut-based cleanser; safe,139,Hair (74); Skincare (46); Bath & Body (13)
sodium stearoyl glutamate,Low,1.0,Cosing EU,Gentle amino acid-based emulsifier; safe,138,Skincare (106); Bath & Body (21); Hair (4)
dicalcium phosphate,Low,1.0,Cosing EU,Mineral; safe,136,Makeup (127); Mini Size (4); Skincare (3)
isopropyl myristate,Low,1.0,Cosing EU,Moisturizer; helps product absorb into skin; safe,136,Hair (51); Makeup (41); Skincare (26)
methyl methacrylate crosspolymer,Low,1.0,Cosing EU,Synthetic polymer; safe,136,Makeup (89); Skincare (37); Mini Size (8)
vp/va copolymer,Low,1.0,Cosing EU,Film-former; holds product on hair/skin; safe,135,Hair (78); Makeup (44); Mini Size (10)
citrullus lanatus (watermelon) fruit extract,Low,1.0,Cosing EU,Watermelon extract; hydrating; safe,134,Hair (63); Skincare (53); Makeup (12)
triethylhexanoin,Low,1.0,Cosing EU,Lightweight moisturizer; safe,134,Makeup (79); Skincare (45); Mini Size (9)
hydrolyzed rice protein,Low,1.0,Cosing EU,Rice protein; strengthens hair; safe,132,Hair (74); Skincare (48); Makeup (5)
vp/eicosene copolymer,Low,1.0,Cosing EU,Film-former; keeps product on skin; safe,132,Makeup (109); Mini Size (15); Skincare (6)
hydrogenated polydecene,Low,1.0,Cosing EU,Synthetic moisturizer; safe,131,Makeup (63); Skincare (50); Hair (7)
alanine,Low,1.0,Cosing EU,Naturally occurring amino acid; safe,130,Hair (60); Skincare (51); Makeup (12)
threonine,Low,1.0,Cosing EU,Naturally occurring amino acid; safe,130,Hair (61); Skincare (51); Makeup (11)
caprylyl methicone,Low,1.0,Cosing EU,Lightweight silicone; safe,128,Makeup (76); Skincare (36); Hair (10)
dipotassium glycyrrhizate,Low,1.0,Cosing EU,Soothing skin; Anti-inflammatory; safe,128,Skincare (115); Makeup (6); Mini Size (3)
phytic acid,Low,1.0,Cosing EU,Natural preservative booster from plants; safe,128,Skincare (72); Hair (44); Mini Size (3)
polyisobutene,Low,1.0,Cosing EU,Moisturizer/film-former; safe,128,Makeup (52); Skincare (50); Hair (17)
sodium polyacrylate,Low,1.0,Cosing EU,Thickener; controls product texture; safe,127,Skincare (80); Makeup (24); Bath & Body (9)
glycereth-26,Low,1.0,Cosing EU,Moisturizer; safe,126,Skincare (76); Hair (34); Makeup (6)
sodium lauroyl sarcosinate,Low,1.0,Cosing EU,Gentle cleanser; safe,126,Hair (87); Skincare (25); Men (5)
trideceth-6,Low,1.0,Cosing EU,Cleansing/emulsifying agent; safe,124,Hair (107); Skincare (14); Bath & Body (3)
acetyl hexapeptide-8,Low,1.0,Cosing EU,Anti-wrinkle peptide; safe,123,Skincare (103); Makeup (12); Men (3)
ci 77289 (chromium hydroxide green),Low,1.0,EU Annex IV,Approved colorant; safe,123,Makeup (105); Mini Size (11); Skincare (6)
methyl trimethicone,Low,1.0,Cosing EU,Lightweight silicone; safe,123,Makeup (64); Skincare (48); Mini Size (7)
sodium gluconate,Low,1.0,Cosing EU,Preservative booster (binds metals); safe,122,Skincare (69); Hair (25); Makeup (15)
ceteareth-20,Low,1.0,Cosing EU,PEG-based emulsifier; safe at cosmetic levels,121,Skincare (64); Hair (39); Bath & Body (10)
phenylalanine,Low,1.0,Cosing EU,Naturally occurring amino acid; safe,121,Hair (59); Skincare (47); Makeup (8)
hydrogenated castor oil,Low,1.0,Cosing EU,Castor-based wax; safe,120,Makeup (84); Skincare (20); Bath & Body (8)
sclerotium gum,Low,1.0,Cosing EU,Natural thickener from fungi; safe,120,Skincare (99); Hair (9); Bath & Body (8)
phytosphingosine,Low,1.0,Cosing EU,Skin lipid; supports barrier function; safe,119,Skincare (100); Makeup (8); Bath & Body (4)
cellulose gum,Low,1.0,Cosing EU,Plant-derived thickener; safe,118,Skincare (89); Makeup (18); Hair (7)
isostearic acid,Low,1.0,Cosing EU,Fatty acid emollient; safe,118,Makeup (60); Skincare (49); Mini Size (7)
citrus aurantium dulcis (orange) fruit extract,Low,1.0,Cosing EU,Orange fruit pulp extract; mild antioxidant; safe,117,Skincare (79); Bath & Body (15); Hair (13)
melia azadirachta flower extract,Low,1.0,Cosing EU,Neem flower extract; skin conditioner; safe,117,Skincare (81); Hair (15); Makeup (9)
ozokerite,Low,1.0,Cosing EU,Mineral wax; structurant; safe,117,Makeup (103); Skincare (7); Mini Size (5)
prunus armeniaca (apricot) kernel oil,Low,1.0,Cosing EU,Plant-derived emollient/extract; safe at cosmetic levels,117,Skincare (43); Hair (28); Makeup (22)
zingiber officinale (ginger) root extract,Low,1.0,Cosing EU,Plant-derived emollient/extract; safe at cosmetic levels,117,Skincare (69); Hair (28); Makeup (11)
aspartic acid,Low,1.0,Cosing EU,Amino acid; safe building block,116,Hair (62); Skincare (37); Makeup (10)
coconut acid,Low,1.0,Cosing EU,Fatty acid mix from coconut; safe,116,Hair (69); Skincare (24); Bath & Body (10)
c11-15 pareth-7,Low,1.0,Cosing EU,Surfactant/emulsifier; safe at cosmetic levels,114,Hair (96); Makeup (12); Mini Size (4)
cocamidopropyl hydroxysultaine,Low,1.0,Cosing EU,Surfactant; safe,113,Hair (60); Skincare (44); Men (5)
corallina officinalis extract,Low,1.0,Cosing EU,Plant-derived emollient/extract; safe at cosmetic levels,113,Skincare (77); Hair (15); Makeup (11)
algin,Low,1.0,Cosing EU,Sugar-derived humectant; safe,112,Skincare (66); Hair (29); Makeup (9)
theobroma cacao (cocoa) seed butter,Low,1.0,Cosing EU,Plant-derived emollient/extract; safe at cosmetic levels,111,Skincare (28); Hair (28); Bath & Body (26)
valine,Low,1.0,Cosing EU,Amino acid; safe building block,111,Hair (58); Skincare (38); Makeup (8)
caramel,Low,1.0,EU Annex IV,Sugar-derived natural colorant; safe,110,Skincare (61); Hair (32); Bath & Body (9)
hydrolyzed soy protein,Low,1.0,Cosing EU,Soy-derived film-former; safe at topical use,110,Hair (58); Skincare (34); Makeup (10)
lauryl glucoside,Low,1.0,Cosing EU,Plant-derived mild surfactant; safe,110,Skincare (49); Hair (47); Bath & Body (6)
methylpropanediol,Low,1.0,Cosing EU,Sugar-derived humectant; safe,110,Skincare (56); Makeup (37); Hair (8)
pca,Low,1.0,Cosing EU,Natural moisturizing factor; safe,110,Hair (54); Skincare (43); Makeup (7)
cetearyl ethylhexanoate,Low,1.0,Cosing EU,Lightweight moisturizer; safe,109,Makeup (79); Skincare (23); Mini Size (4)
cetyl ethylhexanoate,Low,1.0,Cosing EU,Emollient ester; safe,109,Skincare (74); Makeup (18); Bath & Body (8)
laureth-7,Low,1.0,Cosing EU,Surfactant/emulsifier; safe at cosmetic levels,109,Makeup (44); Skincare (32); Hair (15)
magnesium aluminum silicate,Low,1.0,Cosing EU,Clay-based absorbent/thickener; safe at cosmetic levels,109,Makeup (45); Skincare (43); Mini Size (9)
sclerocarya birrea seed oil,Low,1.0,Cosing EU,Plant-derived emollient/extract; safe at cosmetic levels,109,Skincare (45); Hair (36); Bath & Body (16)
isoleucine,Low,1.0,Cosing EU,Amino acid; safe building block,108,Hair (56); Skincare (37); Makeup (8)
pullulan,Low,1.0,Cosing EU,Sugar-derived humectant; safe,108,Skincare (70); Makeup (20); Hair (11)
ethylene/propylene/styrene copolymer,Low,1.0,Cosing EU,Synthetic polymer; safe,107,Makeup (76); Skincare (23); Hair (3)
histidine,Low,1.0,Cosing EU,Amino acid; safe building block,107,Hair (57); Skincare (35); Makeup (8)
sorbitan stearate,Low,1.0,Cosing EU,Emulsifier; safe,107,Skincare (61); Makeup (24); Bath & Body (15)
aluminum starch octenylsuccinate,Low,1.0,Cosing EU,Starch-based absorbent; safe,106,Makeup (50); Hair (32); Mini Size (9)
isopropyl palmitate,Low,1.0,Cosing EU,Fatty ester emollient; safe,106,Hair (28); Makeup (26); Skincare (22)
ppg-26-buteth-26,Low,1.0,Cosing EU,PPG-based solubilizer/emulsifier; safe at cosmetic levels,106,Hair (35); Skincare (31); Makeup (21)
sodium lauroyl methyl isethionate,Low,1.0,Cosing EU,Mild anionic surfactant; safe,106,Hair (76); Skincare (16); Bath & Body (8)
butylene/ethylene/styrene copolymer,Low,1.0,Cosing EU,Synthetic polymer; safe,105,Makeup (74); Skincare (24); Hair (3)
stearamidopropyl dimethylamine,Low,1.0,Cosing EU,Hair-conditioning agents; safe at cosmetic levels,105,Hair (96); Skincare (5); Mini Size (4)
dextrin,Low,1.0,Cosing EU,Sugar-derived humectant; safe,104,Skincare (84); Makeup (8); Hair (5)
mangifera indica (mango) seed butter,Low,1.0,Cosing EU,Plant-derived emollient/extract; safe at cosmetic levels,103,Skincare (37); Makeup (30); Bath & Body (17)
myristic acid,Low,1.0,Cosing EU,Fatty acid; emollient/foaming agent; safe,103,Skincare (63); Makeup (27); Mini Size (4)
panax ginseng root extract,Low,1.0,Cosing EU,Plant-derived emollient/extract; safe at cosmetic levels,103,Skincare (47); Hair (28); Makeup (18)
steareth-20,Low,1.0,Cosing EU,PEG-based nonionic emulsifier; safe at cosmetic levels,103,Skincare (55); Makeup (31); Hair (10)
copernicia cerifera (carnauba) wax,Low,1.0,Cosing EU,Plant-derived wax; structuring; safe,102,Makeup (80); Skincare (13); Mini Size (5)
trihydroxystearin,Low,1.0,Cosing EU,Thickener/gelling agent; skin-conditioning; safe,102,Makeup (72); Skincare (20); Mini Size (5)
hydrogenated olive oil unsaponifiables,Low,1.0,Cosing EU,Olive-derived emollient; safe,101,Hair (49); Skincare (28); Makeup (13)
peg-8,Low,1.0,Cosing EU,Humectant/solvent; safe at cosmetic levels,101,Skincare (72); Makeup (13); Men (6)
polyglycerin-3,Low,1.0,Cosing EU,Plant-derived humectant; safe,100,Skincare (51); Makeup (23); Hair (22)
acetic acid,Low,1.0,Cosing EU,pH adjuster; safe,99,Hair (82); Skincare (8); Fragrance (7)
acetyl glucosamine,Low,1.0,Cosing EU,Sugar derivatives; skin-conditioning; safe,99,Skincare (82); Makeup (8); Hair (3)
magnesium myristate,Low,1.0,Cosing EU,Prevents clumping in powders; safe,98,Makeup (88); Mini Size (8); Skincare (2)
ocimum sanctum leaf extract,Low,1.0,Cosing EU,Holy basil extract; antioxidant; safe,98,Skincare (73); Hair (7); Makeup (7)
dimethyl isosorbide,Low,1.0,Cosing EU,Penetration enhancer/solvent; safe at typical use levels,97,Skincare (84); Hair (6); Makeup (4)
myristyl myristate,Low,1.0,Cosing EU,Wax ester emollient; safe,97,Skincare (65); Hair (12); Bath & Body (10)
centella asiatica extract,Low,1.0,Cosing EU,Plant-derived emollient/extract; safe at cosmetic levels,96,Skincare (62); Hair (14); Makeup (10)
hydrolyzed collagen,Low,1.0,Cosing EU,Protein-derived film-former; safe,96,Skincare (67); Makeup (35); Mini Size (2)
laureth-4,Low,1.0,Cosing EU,Emulsifying agent; safe,96,Hair (40); Makeup (30); Skincare (19)
chondrus crispus extract,Low,1.0,Cosing EU,Thickener; controls product consistency; safe,95,Skincare (54); Hair (26); Makeup (11)
hydrogenated ethylhexyl olivate,Low,1.0,Cosing EU,Olive-derived emollient ester; safe,95,Hair (50); Skincare (29); Makeup (6)
butyloctyl salicylate,Low,1.0,Cosing EU,UV booster/solvent; safe,94,Skincare (65); Makeup (22); Bath & Body (5)
dicaprylyl ether,Low,1.0,Cosing EU,Emollient ester; safe,94,Skincare (56); Makeup (17); Hair (14)
coconut alkanes,Low,1.0,Cosing EU,Plant-derived emollient; silicone alternative; safe,93,Skincare (47); Hair (23); Makeup (16)
anhydroxylitol,Low,1.0,Cosing EU,Sugar-derived humectant; safe,92,Skincare (56); Hair (26); Bath & Body (5)
glyceryl stearate citrate,Low,1.0,Cosing EU,Plant-based emulsifier; safe,91,Skincare (66); Bath & Body (16); Makeup (7)
xylitylglucoside,Low,1.0,Cosing EU,Sugar-derived humectant; safe,91,Skincare (53); Hair (28); Bath & Body (5)
astrocaryum murumuru seed butter,Low,1.0,Cosing EU,Plant-derived emollient/extract; safe at cosmetic levels,89,Hair (37); Skincare (25); Makeup (18)
c13-15 alkane,Low,1.0,Cosing EU,Plant-derived emollient; silicone alternative; safe,89,Hair (30); Skincare (28); Makeup (21)
coco-betaine,Low,1.0,Cosing EU,Plant-derived amphoteric surfactant (a cleansing agent); mild; safe,89,Hair (53); Skincare (24); Bath & Body (5)
hydrolyzed quinoa,Low,1.0,Cosing EU,Plant protein film-former; safe,89,Hair (83); Makeup (3); Skincare (2)
ppg-5-ceteth-20,Low,1.0,Cosing EU,Emulsifier/solubilizer; safe at cosmetic levels,89,Hair (51); Skincare (21); Bath & Body (12)
sodium isethionate,Low,1.0,Cosing EU,Mild surfactant; safe,89,Hair (60); Skincare (19); Bath & Body (6)
vp/hexadecene copolymer,Low,1.0,Cosing EU,Synthetic film-former; safe,89,Makeup (79); Mini Size (6); Skincare (3)
oryza sativa (rice) extract,Low,1.0,Cosing EU,Rice extract; skin brightening; safe,88,Hair (47); Makeup (20); Skincare (12)
petrolatum,Low,1.0,Cosing EU,Cosmetic-grade refined petrolatum; safe occlusive moisturizer,88,Skincare (44); Makeup (19); Hair (7)
hydrolyzed wheat protein,Low,1.0,Cosing EU,Wheat-derived film-former; safe at cosmetic levels,87,Hair (63); Skincare (16); Mini Size (3)
yeast extract/faex/extrait de levure,Low,1.0,Cosing EU,Yeast extract; conditioning; safe,87,Skincare (48); Makeup (18); Hair (12)
c10-18 triglycerides,Low,1.0,Cosing EU,Fatty emollient; safe,86,Makeup (39); Skincare (37); Bath & Body (5)
capryloyl glycerin/sebacic acid copolymer,Low,1.0,Cosing EU,Glycerin-based preservative bosses; safe,86,Skincare (49); Hair (25); Makeup (6)
euphorbia cerifera (candelilla) wax,Low,1.0,Cosing EU,Plant-derived wax; structuring; safe,86,Makeup (69); Skincare (10); Mini Size (3)
laminaria saccharina extract,Low,1.0,Cosing EU,Plant-derived emollient/extract; safe at cosmetic levels,86,Skincare (53); Makeup (20); Hair (9)
avena sativa (oat) kernel extract,Low,1.0,Cosing EU,Plant-derived emollient/extract; safe at cosmetic levels,85,Skincare (69); Bath & Body (8); Hair (4)
magnesium stearate,Low,1.0,Cosing EU,Anti-caking; safe,85,Makeup (56); Skincare (16); Hair (7)
polyglyceryl-3 diisostearate,Low,1.0,Cosing EU,Plant-based emulsifier; safe,85,Makeup (59); Skincare (24); Hair (1)
stearalkonium hectorite,Low,1.0,Cosing EU,Modified clay gellant; safe at cosmetic levels,84,Makeup (59); Skincare (16); Hair (5)
red 30 lake (ci 73360),Low,1.0,EU Annex IV,Approved colorant; safe,83,Makeup (77); Mini Size (4); Skincare (2)
diheptyl succinate,Low,1.0,Cosing EU,Plant-based moisturizer; safe,82,Skincare (45); Hair (31); Mini Size (3)
tridecyl trimellitate,Low,1.0,Cosing EU,Fatty ester emollient; safe,82,Makeup (55); Skincare (20); Hair (2)
coccinia indica fruit extract,Low,1.0,Cosing EU,Plant-derived emollient/extract; safe at cosmetic levels,81,Skincare (57); Hair (9); Makeup (8)
cetyl palmitate,Low,1.0,Cosing EU,Wax ester emollient; safe,79,Skincare (50); Hair (12); Makeup (8)
microcrystalline wax/cera microcristallina/cire microcristalline,Low,1.0,Cosing EU,Petroleum-derived wax; structurant; safe,79,Makeup (61); Skincare (12); Hair (3)
salix alba (willow) bark extract,Low,1.0,Cosing EU,Plant-derived emollient/extract; safe at cosmetic levels,77,Skincare (69); Bath & Body (6); Makeup (1)
ci 16035 (red 40),Low,1.0,EU Annex IV,Approved colorant; safe,73,Makeup (46); Skincare (25); Mini Size (7)
cera alba (beeswax),Low,1.0,Cosing EU,Natural beeswax; emollient/structurant; safe,70,Makeup (53); Skincare (13); Mini Size (4)
isopentyldiol,Low,1.0,Cosing EU,Moisturizer/solvent; safe,70,Makeup (25); Skincare (25); Hair (11)
aluminum powder (ci 77000),Low,1.0,EU Annex IV,Approved colorant; safe,67,Makeup (59); Mini Size (6); Men (1)
vanilla planifolia fruit extract,Low,1.0,Cosing EU,Plant-derived emollient/extract; safe at cosmetic levels,61,Skincare (36); Makeup (13); Bath & Body (8)
disodium stearoyl glutamate,Low,1.0,Cosing EU,Amino-acid surfactant; mild safe,58,Makeup (46); Skincare (6); Mini Size (4)
ethylene/acrylic acid copolymer,Low,1.0,Cosing EU,Synthetic polymer; safe,55,Makeup (33); Skincare (18); Mini Size (4)
decylene glycol,Low,1.0,Cosing EU,Skin-conditioning;  safe,18,Makeup (9); Skincare (3); Hair (2)
