rank,canonical_name,total_mentions,risk_level,sub_weight,health_concern,function_tag,concern_tag_list,n_concern_tags
269,polyquaternium-37,141,Low,1.0,Hair/skin conditioner; safe,conditioner,,0
270,isopropyl myristate,140,Low,1.0,Moisturizer; helps product absorb into skin; safe,moisturizer,,0
271,vp/eicosene copolymer,140,Low,1.0,Film-former; keeps product on skin; safe,film_former,,0
272,phytic acid,139,Low,1.0,Natural preservative booster from plants; safe,preservative,,0
273,caprylyl methicone,139,Low,1.0,Lightweight silicone; safe,silicone,,0
274,sodium methyl cocoyl taurate,139,Low,1.0,Gentle coconut-based cleanser; safe,surfactant,,0
276,ethylene/acrylic acid copolymer,139,Low,1.0,Synthetic polymer; safe,polymer,,0
278,citrullus lanatus (watermelon) fruit extract,138,Low,1.0,Watermelon extract; hydrating; safe,plant_extract,,0
279,polyisobutene,138,Low,1.0,Moisturizer/film-former; safe,moisturizer,,0
280,vp/va copolymer,137,Low,1.0,Film-former; holds product on hair/skin; safe,film_former,,0
281,sodium polyacrylate,137,Low,1.0,Thickener; controls product texture; safe,thickener,,0
283,ethylene/propylene/styrene copolymer,136,Low,1.0,Synthetic polymer; safe,polymer,,0
285,butylene/ethylene/styrene copolymer,135,Low,1.0,Synthetic polymer; safe,polymer,,0
286,dipotassium glycyrrhizate,134,Low,1.0,Soothing skin; Anti-inflammatory; safe,soothing,,0
287,alanine,132,Low,1.0,Naturally occurring amino acid; safe,amino_acid,,0
288,threonine,132,Low,1.0,Naturally occurring amino acid; safe,amino_acid,,0
289,melia azadirachta flower extract,131,Low,1.0,Neem flower extract; skin conditioner; safe,conditioner,,0
290,glycereth-26,131,Low,1.0,Moisturizer; safe,moisturizer,,0
291,sodium gluconate,128,Low,1.0,Preservative booster (binds metals); safe,preservative,,0
292,hydrogenated castor oil,127,Low,1.0,Castor-based wax; safe,wax,,0
293,trideceth-6,127,Low,1.0,Cleansing/emulsifying agent; safe,surfactant,,0
294,methyl trimethicone,126,Low,1.0,Lightweight silicone; safe,silicone,,0
295,phenylalanine,126,Low,1.0,Naturally occurring amino acid; safe,amino_acid,,0
296,acetyl hexapeptide-8,126,Low,1.0,Anti-wrinkle peptide; safe,peptide,,0
297,sclerotium gum,126,Low,1.0,Natural thickener from fungi; safe,thickener,,0
298,sodium lauroyl sarcosinate,126,Low,1.0,Gentle cleanser; safe,surfactant,,0
299,laureth-4,125,Low,1.0,Emulsifying agent; safe,emulsifier,,0
301,magnesium aluminum silicate,124,Low,1.0,Clay-based absorbent/thickener; safe at cosmetic levels,thickener,,0
302,corallina officinalis extract,123,Low,1.0,Plant-derived emollient/extract; safe at cosmetic levels,emollient,,0
303,ceteareth-20,123,Low,1.0,PEG-based emulsifier; safe at cosmetic levels,emulsifier,,0
304,aluminum starch octenylsuccinate,123,Low,1.0,Starch-based absorbent; safe,absorbent,,0
305,citrus aurantium dulcis (orange) fruit extract,122,Low,1.0,Orange fruit pulp extract; mild antioxidant; safe,antioxidant,,0
306,theobroma cacao (cocoa) seed butter,122,Low,1.0,Plant-derived emollient/extract; safe at cosmetic levels,emollient,,0
307,hydrogenated olive oil unsaponifiables,122,Low,1.0,Olive-derived emollient; safe,emollient,,0
308,ozokerite,121,Low,1.0,Mineral wax; structurant; safe,wax,,0
309,trihydroxystearin,120,Low,1.0,Thickener/gelling agent; skin-conditioning; safe,thickener,,0
310,zingiber officinale (ginger) root extract,120,Low,1.0,Plant-derived emollient/extract; safe at cosmetic levels,emollient,,0
311,sclerocarya birrea seed oil,120,Low,1.0,Plant-derived emollient/extract; safe at cosmetic levels,emollient,,0
312,ci 16035 (red 40),120,Low,1.0,Approved colorant; safe,colorant,,0
313,phytosphingosine,119,Low,1.0,Skin lipid; supports barrier function; safe,skin_barrier,,0
314,cellulose gum,119,Low,1.0,Plant-derived thickener; safe,thickener,,0
315,aspartic acid,119,Low,1.0,Amino acid; safe building block,amino_acid,,0
316,isostearic acid,119,Low,1.0,Fatty acid emollient; safe,emollient,,0
317,prunus armeniaca (apricot) kernel oil,119,Low,1.0,Plant-derived emollient/extract; safe at cosmetic levels,emollient,,0
320,coconut alkanes,118,Low,1.0,Plant-derived emollient; silicone alternative; safe,emollient,,0
321,c11-15 pareth-7,118,Low,1.0,Surfactant/emulsifier; safe at cosmetic levels,surfactant,,0
322,decylene glycol,118,Low,1.0,Skin-conditioning;  safe,conditioner,,0
323,hydrogenated ethylhexyl olivate,116,Low,1.0,Olive-derived emollient ester; safe,emollient,,0
324,copernicia cerifera (carnauba) wax,116,Low,1.0,Plant-derived wax; structuring; safe,wax,,0
325,coconut acid,116,Low,1.0,Fatty acid mix from coconut; safe,fatty_acid,,0
326,methylpropanediol,116,Low,1.0,Sugar-derived humectant; safe,humectant,,0
328,sorbitan stearate,114,Low,1.0,Emulsifier; safe,emulsifier,,0
329,hydrolyzed soy protein,114,Low,1.0,Soy-derived film-former; safe at topical use,film_former,,0
330,caramel,114,Low,1.0,Sugar-derived natural colorant; safe,colorant,,0
331,algin,113,Low,1.0,Sugar-derived humectant; safe,humectant,,0
332,valine,113,Low,1.0,Amino acid; safe building block,amino_acid,,0
333,cocamidopropyl hydroxysultaine,113,Low,1.0,Surfactant; safe,surfactant,,0
334,cetyl ethylhexanoate,113,Low,1.0,Emollient ester; safe,emollient,,0
335,dextrin,112,Low,1.0,Sugar-derived humectant; safe,humectant,,0
336,pca,112,Low,1.0,Natural moisturizing factor; safe,moisturizer,,0
337,pullulan,111,Low,1.0,Sugar-derived humectant; safe,humectant,,0
338,isopropyl palmitate,111,Low,1.0,Fatty ester emollient; safe,emollient,,0
339,stearamidopropyl dimethylamine,111,Low,1.0,Hair-conditioning agents; safe at cosmetic levels,conditioner,,0
340,laureth-7,111,Low,1.0,Surfactant/emulsifier; safe at cosmetic levels,surfactant,,0
341,hydrolyzed collagen,111,Low,1.0,Protein-derived film-former; safe,film_former,,0
342,lauryl glucoside,110,Low,1.0,Plant-derived mild surfactant; safe,surfactant,,0
344,isoleucine,110,Low,1.0,Amino acid; safe building block,amino_acid,,0
346,histidine,109,Low,1.0,Amino acid; safe building block,amino_acid,,0
348,mangifera indica (mango) seed butter,107,Low,1.0,Plant-derived emollient/extract; safe at cosmetic levels,emollient,,0
350,c10-18 triglycerides,107,Low,1.0,Fatty emollient; safe,emollient,,0
351,steareth-20,106,Low,1.0,PEG-based nonionic emulsifier; safe at cosmetic levels,emulsifier,,0
352,myristic acid,106,Low,1.0,Fatty acid; emollient/foaming agent; safe,surfactant,,0
353,ppg-26-buteth-26,106,Low,1.0,PPG-based solubilizer/emulsifier; safe at cosmetic levels,emulsifier,,0
354,sodium lauroyl methyl isethionate,106,Low,1.0,Mild anionic surfactant; safe,surfactant,,0
356,ocimum sanctum leaf extract,105,Low,1.0,Holy basil extract; antioxidant; safe,antioxidant,,0
357,tridecyl trimellitate,105,Low,1.0,Fatty ester emollient; safe,emollient,,0
359,vanilla planifolia fruit extract,104,Low,1.0,Plant-derived emollient/extract; safe at cosmetic levels,emollient,,0
360,acetic acid,104,Low,1.0,pH adjuster; safe,ph_adjuster,,0
361,panax ginseng root extract,104,Low,1.0,Plant-derived emollient/extract; safe at cosmetic levels,emollient,,0
362,chondrus crispus extract,103,Low,1.0,Thickener; controls product consistency; safe,thickener,,0
363,vp/hexadecene copolymer,103,Low,1.0,Synthetic film-former; safe,film_former,,0
364,peg-8,103,Low,1.0,Humectant/solvent; safe at cosmetic levels,humectant,,0
365,butyloctyl salicylate,103,Low,1.0,UV booster/solvent; safe,solvent,,0
366,polyglycerin-3,102,Low,1.0,Plant-derived humectant; safe,humectant,,0
367,acetyl glucosamine,102,Low,1.0,Sugar derivatives; skin-conditioning; safe,conditioner,,0
368,myristyl myristate,101,Low,1.0,Wax ester emollient; safe,emollient,,0
369,euphorbia cerifera (candelilla) wax,101,Low,1.0,Plant-derived wax; structuring; safe,wax,,0
370,petrolatum,101,Low,1.0,Cosmetic-grade refined petrolatum; safe occlusive moisturizer,moisturizer,,0
371,hydrolyzed quinoa,100,Low,1.0,Plant protein film-former; safe,film_former,,0
372,dimethyl isosorbide,100,Low,1.0,Penetration enhancer/solvent; safe at typical use levels,solvent,,0
373,astrocaryum murumuru seed butter,100,Low,1.0,Plant-derived emollient/extract; safe at cosmetic levels,emollient,,0
374,centella asiatica extract,99,Low,1.0,Plant-derived emollient/extract; safe at cosmetic levels,emollient,,0
375,dicaprylyl ether,98,Low,1.0,Emollient ester; safe,emollient,,0
376,disodium stearoyl glutamate,96,Low,1.0,Amino-acid surfactant; mild safe,surfactant,,0
377,microcrystalline wax/cera microcristallina/cire microcristalline,96,Low,1.0,Petroleum-derived wax; structurant; safe,wax,,0
378,stearalkonium hectorite,95,Low,1.0,Modified clay gellant; safe at cosmetic levels,thickener,,0
379,glyceryl stearate citrate,95,Low,1.0,Plant-based emulsifier; safe,emulsifier,,0
381,anhydroxylitol,94,Low,1.0,Sugar-derived humectant; safe,humectant,,0
382,avena sativa (oat) kernel extract,93,Low,1.0,Plant-derived emollient/extract; safe at cosmetic levels,emollient,,0
383,xylitylglucoside,93,Low,1.0,Sugar-derived humectant; safe,humectant,,0
384,yeast extract/faex/extrait de levure,93,Low,1.0,Yeast extract; conditioning; safe,conditioner,,0
385,polyglyceryl-3 diisostearate,92,Low,1.0,Plant-based emulsifier; safe,emulsifier,,0
386,red 30 lake (ci 73360),91,Low,1.0,Approved colorant; safe,colorant,,0
387,laminaria saccharina extract,91,Low,1.0,Plant-derived emollient/extract; safe at cosmetic levels,emollient,,0
388,hydrolyzed wheat protein,90,Low,1.0,Wheat-derived film-former; safe at cosmetic levels,film_former,,0
389,capryloyl glycerin/sebacic acid copolymer,90,Low,1.0,Glycerin-based preservative bosses; safe,preservative,,0
390,sodium isethionate,90,Low,1.0,Mild surfactant; safe,surfactant,,0
391,coco-betaine,90,Low,1.0,Plant-derived amphoteric surfactant (a cleansing agent); mild; safe,surfactant,,0
392,cera alba (beeswax),90,Low,1.0,Natural beeswax; emollient/structurant; safe,emollient,,0
393,diheptyl succinate,89,Low,1.0,Plant-based moisturizer; safe,moisturizer,,0
394,c13-15 alkane,89,Low,1.0,Plant-derived emollient; silicone alternative; safe,emollient,,0
395,coccinia indica fruit extract,89,Low,1.0,Plant-derived emollient/extract; safe at cosmetic levels,emollient,,0
397,ppg-5-ceteth-20,89,Low,1.0,Emulsifier/solubilizer; safe at cosmetic levels,emulsifier,,0
398,aluminum powder (ci 77000),89,Low,1.0,Approved colorant; safe,colorant,,0
399,cetyl palmitate,88,Low,1.0,Wax ester emollient; safe,emollient,,0
400,salix alba (willow) bark extract,88,Low,1.0,Plant-derived emollient/extract; safe at cosmetic levels,emollient,,0
