rank,canonical_name,total_mentions,risk_level,sub_weight,health_concern,function_tag,concern_tag_list,n_concern_tags,products_containing,top_primary_categories,color_group,risk_level_label,function_tag_label,concern_labels
108,acrylates/c10-30 alkyl acrylate crosspolymer,420,Low,1.0,Thickener; controls product texture; safe,thickener,,0,392,Skincare (284); Hair (40); Makeup (28),Green,Low Risk,Thickener,
67,triethoxycaprylylsilane,686,Low,1.0,Pigment surface coating; safe,colorant,,0,390,Makeup (299); Skincare (53); Mini Size (27),Green,Low Risk,Color / Pigment,
105,dipropylene glycol,433,Low,1.0,Moisturizer/solvent; safe,moisturizer,,0,389,Skincare (157); Makeup (79); Hair (66),Green,Low Risk,Moisturizer,
109,sorbitan isostearate,420,Low,1.0,Blends oil and water in formulas; safe,emulsifier,,0,389,Skincare (188); Makeup (152); Bath & Body (29),Green,Low Risk,Texture Blender,
92,hydrogenated polyisobutene,499,Low,1.0,Synthetic emollient; safe,emollient,,0,386,Makeup (261); Skincare (89); Bath & Body (15),Green,Low Risk,Skin Softener,
78,ultramarines (ci 77007),595,Low,1.0,Approved colorant; safe,colorant,,0,380,Makeup (333); Mini Size (37); Skincare (8),Green,Low Risk,Color / Pigment,
113,hydroxyacetophenone,405,Low,1.0,Antioxidant and preservative booster; safe,preservative,,0,380,Skincare (194); Hair (73); Makeup (69),Green,Low Risk,Preservative,
70,sodium dehydroacetate,674,Low,1.0,Preservative; safe at cosmetic levels,preservative,,0,377,Makeup (270); Skincare (47); Mini Size (34),Green,Low Risk,Preservative,
115,leuconostoc/radish root ferment filtrate,400,Low,1.0,Natural preservative from radish fermentation; safe,preservative,,0,372,Skincare (228); Hair (83); Makeup (35),Green,Low Risk,Preservative,
117,sodium phytate,393,Low,1.0,Preservative booster (binds metals); safe,preservative,,0,357,Skincare (239); Hair (47); Bath & Body (38),Green,Low Risk,Preservative,
114,persea gratissima oil,403,Low,1.0,Avocado oil moisturizer; safe,moisturizer,,0,356,Hair (121); Skincare (112); Makeup (83),Green,Low Risk,Moisturizer,
101,trimethylsiloxysilicate,458,Low,1.0,Silicone resin; helps product stay on skin; safe,silicone,,0,354,Makeup (312); Skincare (24); Mini Size (17),Green,Low Risk,Silicone,
106,polybutene,428,Low,1.0,Thickener; controls product consistency; safe,thickener,,0,352,Makeup (300); Skincare (29); Mini Size (20),Green,Low Risk,Thickener,
102,glyceryl caprylate,446,Low,1.0,Moisturizer and preservative booster; safe,preservative,,0,351,Skincare (184); Makeup (103); Hair (30),Green,Low Risk,Preservative,
118,propylene carbonate,393,Low,1.0,Solvent; helps dissolve other ingredients; safe,emulsifier,,0,346,Makeup (276); Skincare (48); Mini Size (15),Green,Low Risk,Texture Blender,
95,diisostearyl malate,486,Low,1.0,Emollient; texture enhancer; safe,emollient,,0,342,Makeup (254); Skincare (54); Hair (15),Green,Low Risk,Skin Softener,
129,benzoic acid,358,Low,1.0,Preservative; safe at cosmetic levels,preservative,,0,339,Hair (120); Skincare (110); Makeup (54),Green,Low Risk,Preservative,
131,ci 14700 (red 4),352,Low,1.0,Approved colorant; safe,colorant,,0,336,Fragrance (220); Skincare (67); Hair (22),Green,Low Risk,Color / Pigment,
128,argania spinosa kernel oil,366,Low,1.0,Argan oil moisturizer; safe,moisturizer,,0,333,Hair (187); Skincare (55); Makeup (38),Green,Low Risk,Moisturizer,
134,arginine,340,Low,1.0,Naturally occurring amino acid; safe,amino_acid,,0,324,Skincare (154); Hair (122); Makeup (29),Green,Low Risk,Amino Acid,
135,trehalose,340,Low,1.0,Natural sugar moisturizer; safe,moisturizer,,0,324,Skincare (216); Makeup (44); Hair (44),Green,Low Risk,Moisturizer,
127,phenyl trimethicone,371,Low,1.0,Silicone; gives shine and smooth feel; safe,silicone,,0,322,Makeup (175); Hair (61); Skincare (54),Green,Low Risk,Silicone,
116,bismuth oxychloride (ci 77163),399,Low,1.0,Approved colorant; safe,colorant,,0,320,Makeup (279); Mini Size (26); Skincare (12),Green,Low Risk,Color / Pigment,
143,peg-40 hydrogenated castor oil,325,Low,1.0,Helps dissolve oils in water-based formulas; safe,emulsifier,,0,319,Hair (136); Skincare (95); Makeup (46),Green,Low Risk,Texture Blender,
91,kaolin,500,Low,1.0,Clay absorbent; safe,absorbent,,0,313,Makeup (176); Skincare (104); Mini Size (16),Green,Low Risk,Oil Absorber,
142,palmitic acid,327,Low,1.0,Natural fatty acid; safe,fatty_acid,,0,313,Skincare (141); Makeup (117); Mini Size (21),Green,Low Risk,Fatty Acid,
139,allantoin,329,Low,1.0,Soothes and calms skin; safe,soothing,,0,311,Skincare (223); Bath & Body (34); Makeup (23),Green,Low Risk,Soothing Agent,
110,polymethylsilsesquioxane,418,Low,1.0,Silicone powder; gives smooth finish; safe,silicone,,0,309,Makeup (181); Skincare (105); Mini Size (14),Green,Low Risk,Silicone,
136,acrylates copolymer,339,Low,1.0,Film-former; keeps product on skin/hair; safe,film_former,,0,308,Makeup (128); Hair (94); Skincare (53),Green,Low Risk,Film Former,
146,peg-100 stearate,311,Low,1.0,Blends oil and water in formulas; safe,emulsifier,,0,304,Skincare (212); Hair (38); Bath & Body (20),Green,Low Risk,Texture Blender,
144,betaine,318,Low,1.0,Natural moisturizer from sugar beet; safe,moisturizer,,0,300,Skincare (230); Hair (32); Makeup (21),Green,Low Risk,Moisturizer,
55,zinc stearate,909,Low,1.0,Anti-caking; safe,absorbent,,0,297,Makeup (276); Mini Size (14); Skincare (6),Green,Low Risk,Oil Absorber,
121,aluminum hydroxide,379,Low,1.0,Pigment base material; safe,colorant,,0,297,Makeup (242); Skincare (36); Mini Size (16),Green,Low Risk,Color / Pigment,
85,carmine (ci 75470),548,Low,1.0,Approved colorant; safe,colorant,,0,296,Makeup (260); Mini Size (25); Skincare (12),Green,Low Risk,Color / Pigment,
140,coco-caprylate/caprate,328,Low,1.0,Lightweight coconut-derived moisturizer; safe,moisturizer,,0,295,Skincare (182); Makeup (52); Hair (36),Green,Low Risk,Moisturizer,
90,sorbic acid,502,Low,1.0,Preservative; safe at cosmetic levels,preservative,,0,294,Hair (102); Skincare (79); Makeup (73),Green,Low Risk,Preservative,
103,synthetic wax,440,Low,1.0,Man-made wax; texture agent; safe,wax,,0,294,Makeup (252); Skincare (22); Mini Size (13),Green,Low Risk,Wax / Structure,
94,manganese violet (ci 77742),487,Low,1.0,Approved colorant; safe,colorant,,0,293,Makeup (269); Mini Size (21); Skincare (2),Green,Low Risk,Color / Pigment,
148,trisodium ethylenediamine disuccinate,309,Low,1.0,Preservative booster (binds metals); safe,preservative,,0,293,Skincare (154); Hair (78); Makeup (32),Green,Low Risk,Preservative,
119,hydrogenated lecithin,388,Low,1.0,Natural lipid; helps product absorb into skin; safe,skin_barrier,,0,285,Skincare (185); Makeup (73); Mini Size (7),Green,Low Risk,Skin Barrier Support,
151,hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer,289,Low,1.0,Thickener; controls product texture; safe,thickener,,0,283,Skincare (191); Bath & Body (38); Makeup (36),Green,Low Risk,Thickener,
130,ci 15985 (yellow 6),353,Low,1.0,Approved colorant; safe,colorant,,0,280,Makeup (169); Fragrance (50); Skincare (47),Green,Low Risk,Color / Pigment,
150,ricinus communis (castor) seed oil,293,Low,1.0,Castor oil emollient; safe,emollient,,0,272,Makeup (142); Hair (58); Skincare (55),Green,Low Risk,Skin Softener,
147,dimethiconol,309,Low,1.0,Silicone conditioner; safe,conditioner,,0,269,Hair (123); Makeup (65); Skincare (63),Green,Low Risk,Hair Conditioner,
157,stearyl alcohol,276,Low,1.0,Natural fatty alcohol; moisturizer; safe,moisturizer,,0,268,Skincare (129); Hair (93); Bath & Body (29),Green,Low Risk,Moisturizer,
111,nylon-12,416,Low,1.0,Synthetic powder; safe,polymer,,0,265,Makeup (212); Skincare (28); Mini Size (18),Green,Low Risk,Synthetic Polymer,
133,bis-diglyceryl polyacyladipate-2,343,Low,1.0,Moisturizer; safe,moisturizer,,0,262,Makeup (192); Skincare (46); Mini Size (15),Green,Low Risk,Moisturizer,
162,isohexadecane,266,Low,1.0,Lightweight synthetic moisturizer; safe,moisturizer,,0,262,Skincare (133); Makeup (79); Hair (28),Green,Low Risk,Moisturizer,
156,guar hydroxypropyltrimonium chloride,280,Low,1.0,Natural hair conditioner from guar bean; safe,conditioner,,0,257,Hair (243); Mini Size (6); Bath & Body (4),Green,Low Risk,Hair Conditioner,
141,alumina,328,Low,1.0,Lightweight coconut-derived moisturizer; safe,moisturizer,,0,255,Makeup (203); Skincare (34); Mini Size (11),Green,Low Risk,Moisturizer,
123,calcium sodium borosilicate,377,Low,1.0,Sparkle/glitter effect pigment; safe,colorant,,0,253,Makeup (224); Mini Size (12); Bath & Body (6),Green,Low Risk,Color / Pigment,
167,behenyl alcohol,252,Low,1.0,Natural fatty alcohol; moisturizer; safe,moisturizer,,0,251,Skincare (187); Hair (23); Makeup (16),Green,Low Risk,Moisturizer,
168,decyl glucoside,251,Low,1.0,Gentle sugar-based cleanser; safe,surfactant,,0,251,Skincare (120); Hair (98); Bath & Body (15),Green,Low Risk,Cleanser / Foaming Agent,
93,lauroyl lysine,490,Low,1.0,Amino-acid lipid; safe,amino_acid,,0,247,Makeup (192); Skincare (40); Mini Size (14),Green,Low Risk,Amino Acid,
161,c12-15 alkyl benzoate,268,Low,1.0,Lightweight moisturizer; safe,moisturizer,,0,247,Skincare (116); Makeup (67); Hair (33),Green,Low Risk,Moisturizer,
153,dehydroacetic acid,283,Low,1.0,Preservative; safe at cosmetic levels,preservative,,0,246,Skincare (88); Makeup (68); Hair (66),Green,Low Risk,Preservative,
155,isononyl isononanoate,281,Low,1.0,Lightweight moisturizer; safe,moisturizer,,0,244,Makeup (136); Skincare (91); Mini Size (7),Green,Low Risk,Moisturizer,
165,gluconolactone,258,Low,1.0,Gentle exfoliant (PHA); less irritating than AHAs; safe,exfoliant,,0,244,Skincare (124); Hair (90); Makeup (12),Green,Low Risk,Exfoliant,
166,bisabolol,256,Low,1.0,Chamomile-derived; soothes skin; safe,soothing,,0,243,Skincare (169); Bath & Body (31); Makeup (19),Green,Low Risk,Soothing Agent,
163,adenosine,264,Low,1.0,Naturally occurring skin conditioner; safe,conditioner,,0,242,Skincare (217); Makeup (14); Mini Size (4),Green,Low Risk,Hair Conditioner,
158,prunus amygdalus dulcis (sweet almond) oil,272,Low,1.0,Sweet almond oil; safe,plant_extract,,0,238,Hair (102); Skincare (54); Bath & Body (50),Green,Low Risk,Plant Extract / Oil,
169,ceramide np,251,Low,1.0,Skin barrier lipid; repairs and strengthens skin; safe,skin_barrier,,0,238,Skincare (185); Bath & Body (18); Hair (17),Green,Low Risk,Skin Barrier Support,
174,sodium lactate,241,Low,1.0,Natural skin moisturizing factor; safe,moisturizer,,0,236,Skincare (131); Hair (63); Makeup (27),Green,Low Risk,Moisturizer,
86,octyldodecyl stearoyl stearate,539,Low,1.0,Emollient ester; safe,emollient,,0,235,Makeup (213); Skincare (11); Mini Size (10),Green,Low Risk,Skin Softener,
170,amodimethicone,248,Low,1.0,Silicone hair conditioner; safe,conditioner,,0,234,Hair (211); Skincare (13); Makeup (5),Green,Low Risk,Hair Conditioner,
175,sorbitol,238,Low,1.0,Sugar-based moisturizer; safe,moisturizer,,0,232,Skincare (140); Makeup (40); Hair (30),Green,Low Risk,Moisturizer,
81,boron nitride,578,Low,1.0,Optical-finish powder; safe,absorbent,,0,223,Makeup (172); Skincare (31); Mini Size (18),Green,Low Risk,Oil Absorber,
152,polysilicone-11,288,Low,1.0,Silicone elastomer; gives bouncy texture; safe,silicone,,0,221,Skincare (123); Makeup (83); Mini Size (8),Green,Low Risk,Silicone,
178,chamomilla recutita (matricaria) flower extract,231,Low,1.0,Chamomile extract; soothes skin; safe,soothing,,0,220,Skincare (115); Hair (58); Makeup (27),Green,Low Risk,Soothing Agent,
181,glycine soja (soybean) oil,226,Low,1.0,Soybean oil moisturizer; safe,moisturizer,,0,218,Skincare (74); Makeup (58); Hair (54),Green,Low Risk,Moisturizer,
138,calcium aluminum borosilicate,333,Low,1.0,Sparkle/glitter effect pigment; safe,colorant,,0,211,Makeup (189); Mini Size (15); Skincare (4),Green,Low Risk,Color / Pigment,
186,sucrose,217,Low,1.0,Sugar; moisturizer; safe,moisturizer,,0,210,Skincare (149); Makeup (19); Bath & Body (17),Green,Low Risk,Moisturizer,
190,tetrahexyldecyl ascorbate,214,Low,1.0,Stable vitamin C derivative; antioxidant; safe,antioxidant,,0,206,Skincare (134); Makeup (51); Bath & Body (9),Green,Low Risk,Antioxidant,
192,polysorbate 80,213,Low,1.0,Blends oil and water in formulas; safe,emulsifier,,0,205,Skincare (113); Makeup (50); Hair (22),Green,Low Risk,Texture Blender,
179,biotin,230,Low,1.0,Vitamin B7; supports hair and nail health; safe,vitamin,,0,204,Hair (131); Skincare (37); Makeup (28),Green,Low Risk,Vitamin,
187,polyhydroxystearic acid,217,Low,1.0,Helps distribute pigments evenly; safe,colorant,,0,204,Makeup (131); Skincare (63); Mini Size (6),Green,Low Risk,Color / Pigment,
191,phospholipids,213,Low,1.0,Natural cell membrane lipids; helps product absorb into skin; safe,skin_barrier,,0,204,Skincare (117); Hair (54); Makeup (17),Green,Low Risk,Skin Barrier Support,
145,ferric ferrocyanide (ci 77510),317,Low,1.0,Approved colorant; safe,colorant,,0,203,Makeup (229); Mini Size (17); Skincare (2),Green,Low Risk,Color / Pigment,
189,cucumis sativus (cucumber) fruit extract,215,Low,1.0,Cucumber extract; soothing and hydrating; safe,soothing,,0,202,Skincare (143); Makeup (19); Fragrance (14),Green,Low Risk,Soothing Agent,
193,polyquaternium-10,211,Low,1.0,Hair conditioner; reduces static; safe,conditioner,,0,200,Hair (157); Skincare (18); Makeup (13),Green,Low Risk,Hair Conditioner,
194,sorbitan olivate,211,Low,1.0,Olive-derived emulsifier; safe,emulsifier,,0,199,Skincare (136); Bath & Body (26); Makeup (23),Green,Low Risk,Texture Blender,
197,ammonium acryloyldimethyltaurate/vp copolymer,202,Low,1.0,Thickener; controls product texture; safe,thickener,,0,199,Skincare (151); Makeup (28); Bath & Body (8),Green,Low Risk,Thickener,
182,vitis vinifera (grape) seed oil,222,Low,1.0,Grapeseed oil; safe,plant_extract,,0,198,Skincare (77); Hair (41); Bath & Body (37),Green,Low Risk,Plant Extract / Oil,
200,pyrus malus (apple) fruit extract,200,Low,1.0,Apple-derived skin conditioner; safe,conditioner,,0,198,Skincare (140); Hair (20); Makeup (19),Green,Low Risk,Hair Conditioner,
198,disodium phosphate,202,Low,1.0,pH adjuster; safe,ph_adjuster,,0,195,Hair (78); Skincare (66); Makeup (40),Green,Low Risk,pH Balancer,
195,oryza sativa (rice) bran extract,208,Low,1.0,Rice bran antioxidant; brightening; safe,antioxidant,,0,194,Skincare (103); Hair (51); Makeup (19),Green,Low Risk,Antioxidant,
201,sodium cocoyl isethionate,195,Low,1.0,Gentle coconut-based cleanser; safe,surfactant,,0,194,Hair (118); Skincare (56); Bath & Body (13),Green,Low Risk,Cleanser / Foaming Agent,
199,glucose,202,Low,1.0,Natural sugar; moisturizer; safe,moisturizer,,0,193,Skincare (130); Hair (25); Makeup (18),Green,Low Risk,Moisturizer,
183,carthamus tinctorius (safflower) seed oil,222,Low,1.0,Safflower oil; safe,plant_extract,,0,191,Skincare (74); Hair (47); Makeup (40),Green,Low Risk,Plant Extract / Oil,
205,pvp,193,Low,1.0,Film-forming polymer; holds product on skin/hair; safe,film_former,,0,188,Makeup (97); Hair (51); Skincare (20),Green,Low Risk,Film Former,
196,paraffin,206,Low,1.0,Refined mineral wax; seals in moisture; safe,wax,,0,185,Makeup (141); Skincare (19); Mini Size (18),Green,Low Risk,Wax / Structure,
172,pentaerythrityl tetraisostearate,245,Low,1.0,Moisturizer; safe,moisturizer,,0,184,Makeup (139); Skincare (31); Mini Size (9),Green,Low Risk,Moisturizer,
202,glycyrrhiza glabra (licorice) root extract,195,Low,1.0,Licorice extract; soothes skin; safe,soothing,,0,183,Skincare (136); Makeup (21); Bath & Body (10),Green,Low Risk,Soothing Agent,
210,olea europaea (olive) fruit oil,188,Low,1.0,Olive oil; safe,plant_extract,,0,183,Skincare (65); Hair (45); Makeup (36),Green,Low Risk,Plant Extract / Oil,
212,sorbitan oleate,188,Low,1.0,Blends oil and water in formulas; safe,emulsifier,,0,182,Skincare (78); Hair (57); Makeup (35),Green,Low Risk,Texture Blender,
203,cetearyl glucoside,194,Low,1.0,Sugar-based emulsifier; safe,emulsifier,,0,181,Skincare (128); Bath & Body (27); Hair (14),Green,Low Risk,Texture Blender,
207,tetrasodium glutamate diacetate,191,Low,1.0,Preservative booster (binds metals); safe,preservative,,0,181,Skincare (99); Hair (71); Bath & Body (8),Green,Low Risk,Preservative,
209,glycine,189,Low,1.0,Naturally occurring amino acid; safe,amino_acid,,0,181,Hair (90); Skincare (74); Makeup (8),Green,Low Risk,Amino Acid,
176,hdi/trimethylol hexyllactone crosspolymer,237,Low,1.0,Film-former; keeps product on skin; safe,film_former,,0,180,Makeup (124); Skincare (39); Mini Size (15),Green,Low Risk,Film Former,
211,linoleic acid,188,Low,1.0,Natural skin-repairing fatty acid; safe,fatty_acid,,0,180,Skincare (138); Bath & Body (15); Makeup (13),Green,Low Risk,Fatty Acid,
219,serine,182,Low,1.0,Naturally occurring amino acid; safe,amino_acid,,0,180,Hair (89); Skincare (68); Makeup (15),Green,Low Risk,Amino Acid,
218,acacia senegal gum,183,Low,1.0,Natural plant gum thickener; safe,thickener,,0,179,Makeup (91); Skincare (55); Mini Size (19),Green,Low Risk,Thickener,
185,rosa canina fruit oil,221,Low,1.0,Rosehip oil; safe,plant_extract,,0,175,Skincare (67); Hair (41); Makeup (35),Green,Low Risk,Plant Extract / Oil,
229,glycol distearate,175,Low,1.0,Gives pearly appearance to products; moisturizer; safe,colorant,,0,175,Hair (125); Skincare (35); Bath & Body (5),Green,Low Risk,Color / Pigment,
217,cetearyl olivate,183,Low,1.0,Olive-derived emulsifier; safe,emulsifier,,0,174,Skincare (124); Bath & Body (26); Makeup (10),Green,Low Risk,Texture Blender,
224,cholesterol,177,Low,1.0,Natural skin lipid; strengthens skin barrier; safe,skin_barrier,,0,174,Skincare (128); Makeup (27); Bath & Body (10),Green,Low Risk,Skin Barrier Support,
226,xylitol,177,Low,1.0,Sugar-based moisturizer; safe,moisturizer,,0,174,Skincare (97); Hair (58); Makeup (10),Green,Low Risk,Moisturizer,
206,hydrolyzed vegetable protein pg-propyl silanetriol,192,Low,1.0,Hair and skin conditioner; safe,conditioner,,0,173,Hair (165); Mini Size (7); Men (1),Green,Low Risk,Hair Conditioner,
204,synthetic beeswax,193,Low,1.0,Man-made wax; texture agent; safe,wax,,0,171,Makeup (148); Mini Size (14); Skincare (5),Green,Low Risk,Wax / Structure,
225,saccharide isomerate,177,Low,1.0,Plant-derived moisturizer; safe,moisturizer,,0,171,Skincare (125); Makeup (15); Bath & Body (14),Green,Low Risk,Moisturizer,
230,dicaprylyl carbonate,174,Low,1.0,Lightweight moisturizer; safe,moisturizer,,0,168,Skincare (105); Hair (31); Makeup (18),Green,Low Risk,Moisturizer,
216,palmitoyl tripeptide-1,183,Low,1.0,Anti-aging peptide; safe,peptide,,0,166,Skincare (99); Makeup (60); Mini Size (5),Green,Low Risk,Peptide (Anti-aging),
238,trideceth-12,167,Low,1.0,Cleansing/emulsifying agent; safe,surfactant,,0,163,Hair (152); Mini Size (7); Skincare (2),Green,Low Risk,Cleanser / Foaming Agent,
243,coco-glucoside,163,Low,1.0,Gentle coconut-based cleanser; safe,surfactant,,0,163,Skincare (85); Hair (42); Makeup (14),Green,Low Risk,Cleanser / Foaming Agent,
234,calcium gluconate,171,Low,1.0,Mineral salt; skin conditioner; safe,conditioner,,0,162,Hair (79); Skincare (62); Makeup (12),Green,Low Risk,Hair Conditioner,
245,limnanthes alba (meadowfoam) seed oil,162,Low,1.0,Meadowfoam oil moistrurizer; safe,moisturizer,,0,161,Skincare (77); Makeup (31); Hair (28),Green,Low Risk,Moisturizer,
214,polymethyl methacrylate,184,Low,1.0,Synthetic polymer powder; safe,polymer,,0,160,Makeup (106); Skincare (35); Mini Size (15),Green,Low Risk,Synthetic Polymer,
227,cellulose,176,Low,1.0,Natural plant fibre; thickener; safe,thickener,,0,159,Skincare (71); Makeup (56); Hair (18),Green,Low Risk,Thickener,
235,cetyl esters,169,Low,1.0,Emollient wax; safe,emollient,,0,159,Hair (129); Skincare (20); Makeup (4),Green,Low Risk,Skin Softener,
220,melia azadirachta leaf extract,181,Low,1.0,Neem leaf extract; skin conditioner; safe,conditioner,,0,158,Skincare (101); Hair (31); Makeup (10),Green,Low Risk,Hair Conditioner,
221,caprylhydroxamic acid,179,Low,1.0,Preservative booster (binds metals); safe,preservative,,0,158,Skincare (93); Makeup (26); Hair (22),Green,Low Risk,Preservative,
241,lactobacillus ferment,164,Low,1.0,Probiotic-derived skin conditioner; safe,conditioner,,0,158,Skincare (99); Makeup (23); Hair (13),Green,Low Risk,Hair Conditioner,
239,moringa oleifera seed oil,166,Low,1.0,Moringa oil moisturizer; safe,moisturizer,,0,157,Hair (70); Skincare (59); Makeup (12),Green,Low Risk,Moisturizer,
231,curcuma longa (turmeric) root extract,172,Low,1.0,Turmeric extract; antioxidant; safe,antioxidant,,0,155,Skincare (111); Hair (19); Makeup (13),Green,Low Risk,Antioxidant,
244,polyacrylate crosspolymer-6,163,Low,1.0,Thickener; controls product texture; safe,thickener,,0,155,Skincare (126); Bath & Body (10); Hair (7),Green,Low Risk,Thickener,
249,hydrogenated vegetable oil,158,Low,1.0,Vegetable-based wax; safe,wax,,0,153,Makeup (79); Skincare (55); Hair (8),Green,Low Risk,Wax / Structure,
251,magnesium sulfate,156,Low,1.0,Mineral salt (Epsom salt); safe,mineral,,0,152,Makeup (80); Skincare (45); Hair (15),Green,Low Risk,Mineral,
237,triethyl citrate,167,Low,1.0,Solvent; helps other ingredients dissolve; safe,solvent,,0,149,Skincare (66); Fragrance (27); Makeup (24),Green,Low Risk,Solvent,
242,behentrimonium methosulfate,163,Low,1.0,Gentle hair conditioner; safe,conditioner,,0,147,Hair (141); Mini Size (3); Men (3),Green,Low Risk,Hair Conditioner,
258,proline,149,Low,1.0,Naturally occurring amino acid; safe,amino_acid,,0,147,Skincare (66); Hair (62); Makeup (10),Green,Low Risk,Amino Acid,
240,tribehenin,165,Low,1.0,Plant-based moisturizer; safe,moisturizer,,0,146,Makeup (97); Skincare (34); Hair (8),Green,Low Risk,Moisturizer,
255,urea,151,Low,1.0,Moisturizer; softens rough skin; safe,moisturizer,,0,146,Skincare (95); Makeup (19); Hair (17),Green,Low Risk,Moisturizer,
260,glyceryl stearate se,148,Low,1.0,Blends oil and water in formulas; safe,emulsifier,,0,146,Skincare (93); Hair (22); Makeup (14),Green,Low Risk,Texture Blender,
173,zea mays (corn) starch,243,Low,1.0,Corn starch; absorbs oil; safe,absorbent,,0,145,Makeup (77); Skincare (27); Hair (17),Green,Low Risk,Oil Absorber,
215,polyglyceryl-2 triisostearate,184,Low,1.0,Blends oil and water in formulas; safe,emulsifier,,0,145,Makeup (128); Skincare (13); Mini Size (3),Green,Low Risk,Texture Blender,
254,sodium phosphate,151,Low,1.0,pH adjuster; safe,ph_adjuster,,0,145,Hair (67); Skincare (45); Makeup (25),Green,Low Risk,pH Balancer,
262,algae extract,146,Low,1.0,Seaweed-derived skin conditioner; safe,conditioner,,0,145,Skincare (92); Makeup (26); Hair (16),Green,Low Risk,Hair Conditioner,
236,ci 77288 (chromium oxide green),168,Low,1.0,Approved colorant; safe,colorant,,0,144,Makeup (124); Mini Size (12); Skincare (5),Green,Low Risk,Color / Pigment,
256,palmitoyl tetrapeptide-7,150,Low,1.0,Anti-aging peptide; safe,peptide,,0,144,Skincare (111); Makeup (26); Mini Size (5),Green,Low Risk,Peptide (Anti-aging),
177,methicone,231,Low,1.0,Silicone coating for pigments; safe,colorant,,0,143,Makeup (104); Skincare (22); Mini Size (13),Green,Low Risk,Color / Pigment,
263,potassium cetyl phosphate,145,Low,1.0,Blends oil and water in formulas; safe,emulsifier,,0,143,Skincare (87); Makeup (25); Bath & Body (21),Green,Low Risk,Texture Blender,
269,polyquaternium-37,141,Low,1.0,Hair/skin conditioner; safe,conditioner,,0,139,Hair (137); Mini Size (2),Green,Low Risk,Hair Conditioner,
274,sodium methyl cocoyl taurate,139,Low,1.0,Gentle coconut-based cleanser; safe,surfactant,,0,139,Hair (74); Skincare (46); Bath & Body (13),Green,Low Risk,Cleanser / Foaming Agent,
265,sodium stearoyl glutamate,143,Low,1.0,Gentle amino acid-based emulsifier; safe,emulsifier,,0,138,Skincare (106); Bath & Body (21); Hair (4),Green,Low Risk,Texture Blender,
250,methyl methacrylate crosspolymer,157,Low,1.0,Synthetic polymer; safe,polymer,,0,136,Makeup (89); Skincare (37); Mini Size (8),Green,Low Risk,Synthetic Polymer,
257,dicalcium phosphate,150,Low,1.0,Mineral; safe,mineral,,0,136,Makeup (127); Mini Size (4); Skincare (3),Green,Low Risk,Mineral,
270,isopropyl myristate,140,Low,1.0,Moisturizer; helps product absorb into skin; safe,moisturizer,,0,136,Hair (51); Makeup (41); Skincare (26),Green,Low Risk,Moisturizer,
280,vp/va copolymer,137,Low,1.0,Film-former; holds product on hair/skin; safe,film_former,,0,135,Hair (78); Makeup (44); Mini Size (10),Green,Low Risk,Film Former,
248,triethylhexanoin,161,Low,1.0,Lightweight moisturizer; safe,moisturizer,,0,134,Makeup (79); Skincare (45); Mini Size (9),Green,Low Risk,Moisturizer,
278,citrullus lanatus (watermelon) fruit extract,138,Low,1.0,Watermelon extract; hydrating; safe,plant_extract,,0,134,Hair (63); Skincare (53); Makeup (12),Green,Low Risk,Plant Extract / Oil,
266,hydrolyzed rice protein,143,Low,1.0,Rice protein; strengthens hair; safe,conditioner,,0,132,Hair (74); Skincare (48); Makeup (5),Green,Low Risk,Hair Conditioner,
271,vp/eicosene copolymer,140,Low,1.0,Film-former; keeps product on skin; safe,film_former,,0,132,Makeup (109); Mini Size (15); Skincare (6),Green,Low Risk,Film Former,
259,hydrogenated polydecene,149,Low,1.0,Synthetic moisturizer; safe,moisturizer,,0,131,Makeup (63); Skincare (50); Hair (7),Green,Low Risk,Moisturizer,
287,alanine,132,Low,1.0,Naturally occurring amino acid; safe,amino_acid,,0,130,Hair (60); Skincare (51); Makeup (12),Green,Low Risk,Amino Acid,
288,threonine,132,Low,1.0,Naturally occurring amino acid; safe,amino_acid,,0,130,Hair (61); Skincare (51); Makeup (11),Green,Low Risk,Amino Acid,
272,phytic acid,139,Low,1.0,Natural preservative booster from plants; safe,preservative,,0,128,Skincare (72); Hair (44); Mini Size (3),Green,Low Risk,Preservative,
273,caprylyl methicone,139,Low,1.0,Lightweight silicone; safe,silicone,,0,128,Makeup (76); Skincare (36); Hair (10),Green,Low Risk,Silicone,
279,polyisobutene,138,Low,1.0,Moisturizer/film-former; safe,moisturizer,,0,128,Makeup (52); Skincare (50); Hair (17),Green,Low Risk,Moisturizer,
286,dipotassium glycyrrhizate,134,Low,1.0,Soothing skin; Anti-inflammatory; safe,soothing,,0,128,Skincare (115); Makeup (6); Mini Size (3),Green,Low Risk,Soothing Agent,
281,sodium polyacrylate,137,Low,1.0,Thickener; controls product texture; safe,thickener,,0,127,Skincare (80); Makeup (24); Bath & Body (9),Green,Low Risk,Thickener,
290,glycereth-26,131,Low,1.0,Moisturizer; safe,moisturizer,,0,126,Skincare (76); Hair (34); Makeup (6),Green,Low Risk,Moisturizer,
298,sodium lauroyl sarcosinate,126,Low,1.0,Gentle cleanser; safe,surfactant,,0,126,Hair (87); Skincare (25); Men (5),Green,Low Risk,Cleanser / Foaming Agent,
