ingredient,issue,frequency,length
musa sapientum (banana) fruit extract citrus aurantium amara (bitter orange) leaf/twig extract,unusually long,1,94
titanium dioxide (ci 77891) manganese violet (ci 77742). *contains carmine as a color additive,unusually long,1,94
ci 77491 (iron oxides) silica ci 77499 (iron oxides) caprylyl glycol ethylhexylglycerin ptfe,unusually long,1,92
organic aloe barbadensis leaf extract and organic camellia sinensis (green tea) leaf extract,unusually long,1,92
coconut oil polyglyceryl-6 esters lauric acids from coconut oil with emollient properties,unusually long,1,89
twig (cinammon) oil/vetiveria zizanoides root (vetivier) oil/cocos nucifera (coconut) oil,unusually long,1,89
euphorbia cerifera (candelilla) wax / candelilla cera hydrocarbons / cire de candelilla,unusually long,1,87
kluyveromyces/lactobacillus/lactococcus/leuconostoc/saccharomyces milk ferment filtrate,unusually long,1,87
actinidia chinensis (kiwi) seed pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate,unusually long,1,86
aloe barbadensis leaf extract and saccharomyses cerevisiae (yeast) extract lactic acid,unusually long,1,86
citrus aurantium dulcis fruit extract (citrus aurantium dulcis (orange) fruit extract),unusually long,1,86
maxi-lip (ethylhexyl palmitate/tribehenin/sorbitan isostearate/palmitoyl tripeptide-1),unusually long,1,86
provide antioxidant benefits and help limit sebum oxidation responsible for blackheads,unusually long,1,86
camellia sinensis (green tea) leaf extract glycyrrhiza glabra (licorice) root extract,unusually long,1,85
aloe barbadensis leaf extract & saccharomyses cerevisiae (yeast) extract lactic acid,unusually long,1,84
citrus aurantium dulcis fruit extract/citrus aurantium dulcis (orange) fruit extract,unusually long,1,84
cleanses away visible impurities and excess sebum while tightening the look of pores,unusually long,1,84
eucalyptus globulus (eucalyptus) leaf oil* tropaeolum majus flower/leaf/stem extract,unusually long,1,84
helianthus annuus (sunflower) seed oil*. linum usitatissimum (linseed) seed extract*,unusually long,1,84
2-6-methyl-8-(1-methylethyl)bicyclo2.2.2oct-5-en-2-yl- (floral note/safe synthetic),unusually long,1,83
euphorbia cerifera(candelilla) wax / candelillacera hydrocarbons / ciredecandelilla,unusually long,1,83
melaleuca alternifolia flower/leaf/stem extract - tea tree flower/leaf/stem extract,unusually long,1,83
tremella fuciformis sporocarp (silver ear mushroom) extract hydrating supermushroom,unusually long,1,83
acrylates/c10-30 alkyl acrylate crosspolymer trisodium ethylenediamine disuccinate,unusually long,1,82
betaine amino acid from sugar beet molasses that helps protect against dehydration,unusually long,1,82
forms a protective barrier for long-lasting color protection for up to four washes,unusually long,1,82
from natural origin derived from wheat and corn and soybeans; moisturizes the skin,unusually long,1,82
hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer (texture enhancer),unusually long,1,82
made from high-quality pvc (vinyl). free from harmful chemicals such as phthalates,unusually long,1,82
pentaerythrityl tetra di t butyl hydroxyhydrocinnamate. may contain (peut contenir,unusually long,1,82
prunus serrulata flower extract (and) brassica oleracea italica (broccoli) extract,unusually long,1,82
pseudozyma epicola/camellia sinensis seed (green tea) oil ferment extract filtrate,unusually long,1,82
punica granatum flower extract; butyrospermum parkii (shea butter) unsaponifiables,unusually long,1,82
chamomilla recutita (matricaria) flower extract (chamomile extract/skin-soothing),unusually long,1,81
citrus medica limonum fruit extract (citrus medica limonum (lemon) fruit extract),unusually long,1,81
helianthus  annuus  seed  oil  unsaponifiables/sunflower seed oil unsaponifiables,unusually long,1,81
yellow 6 lake (ci 15985).,ends with period,1,25
) glycerin,starts with bracket,1,10
0.00108%,percentage value,1,8
0.01644%,percentage value,1,8
0.04644%,percentage value,1,8
0.27264%,percentage value,1,8
0.57204%,percentage value,1,8
0.0408%,percentage value,1,7
0.4272%,percentage value,1,7
12.6%,percentage value,1,5
77492,purely numeric,1,5
2.5%,percentage value,1,4
5.0%,percentage value,1,4
6.0%,percentage value,1,4
7.0%,percentage value,1,4
